              4   3
      635.000
      1210.00
      2155.00
      2800.00
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
    1.094554E-01    1.141220E-01    1.164554E-01    1.133443E-01
    1.088973E-01    1.135640E-01    1.158973E-01    1.127862E-01
    1.083393E-01    1.130060E-01    1.153393E-01    1.122282E-01
    1.078901E-01    1.125568E-01    1.148901E-01    1.117790E-01
    1.076099E-01    1.122765E-01    1.146099E-01    1.114988E-01
    1.073296E-01    1.119963E-01    1.143296E-01    1.112185E-01
    1.070493E-01    1.117160E-01    1.140493E-01    1.109382E-01
    1.067701E-01    1.114367E-01    1.137701E-01    1.106590E-01
    1.064911E-01    1.111577E-01    1.134911E-01    1.103800E-01
    1.062120E-01    1.108787E-01    1.132120E-01    1.101009E-01
    1.060000E-01    1.106220E-01    1.129330E-01    1.098517E-01
    1.060000E-01    1.104360E-01    1.126540E-01    1.096967E-01
    1.060000E-01    1.102500E-01    1.123750E-01    1.095417E-01
    1.060000E-01    1.100640E-01    1.120960E-01    1.093867E-01
    1.058162E-01    1.099387E-01    1.120000E-01    1.092516E-01
    1.055359E-01    1.098453E-01    1.120000E-01    1.091271E-01
    1.052556E-01    1.097519E-01    1.120000E-01    1.090025E-01
    1.050000E-01    1.096503E-01    1.119754E-01    1.088752E-01
    1.050000E-01    1.094643E-01    1.116964E-01    1.087202E-01
    1.050000E-01    1.092783E-01    1.114174E-01    1.085652E-01
    1.050000E-01    1.090923E-01    1.111384E-01    1.084102E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.048273E-01    1.089424E-01    1.110000E-01    1.082566E-01
    1.045471E-01    1.088490E-01    1.110000E-01    1.081320E-01
    1.042668E-01    1.087556E-01    1.110000E-01    1.080075E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040000E-01    1.086667E-01    1.110000E-01    1.078889E-01
    1.040871E-01    1.086957E-01    1.110000E-01    1.079276E-01
    1.043661E-01    1.087887E-01    1.110000E-01    1.080516E-01
    1.046451E-01    1.088817E-01    1.110000E-01    1.081756E-01
    1.049241E-01    1.089747E-01    1.110000E-01    1.082996E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.091071E-01    1.111607E-01    1.084226E-01
    1.050000E-01    1.092931E-01    1.114397E-01    1.085776E-01
    1.050000E-01    1.094792E-01    1.117187E-01    1.087326E-01
    1.050000E-01    1.096652E-01    1.119978E-01    1.088877E-01
    1.052780E-01    1.097593E-01    1.120000E-01    1.090125E-01
    1.055583E-01    1.098528E-01    1.120000E-01    1.091370E-01
    1.058386E-01    1.099462E-01    1.120000E-01    1.092616E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.062344E-01    1.102344E-01    1.122344E-01    1.095677E-01
    1.065134E-01    1.105134E-01    1.125134E-01    1.098467E-01
    1.067924E-01    1.107924E-01    1.127924E-01    1.101257E-01
    1.070000E-01    1.110000E-01    1.130000E-01    1.103333E-01
    1.070000E-01    1.110000E-01    1.130000E-01    1.103333E-01
    1.070000E-01    1.110000E-01    1.130000E-01    1.103333E-01
    1.070000E-01    1.110000E-01    1.130000E-01    1.103333E-01
    1.070000E-01    1.111280E-01    1.131920E-01    1.104400E-01
    1.070000E-01    1.113140E-01    1.134710E-01    1.105950E-01
    1.070000E-01    1.115000E-01    1.137500E-01    1.107500E-01
    1.070290E-01    1.116763E-01    1.140000E-01    1.109018E-01
    1.073080E-01    1.117693E-01    1.140000E-01    1.110258E-01
    1.075871E-01    1.118624E-01    1.140000E-01    1.111498E-01
    1.078661E-01    1.119554E-01    1.140000E-01    1.112738E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120687E-01    1.141031E-01    1.113906E-01
    1.080000E-01    1.122556E-01    1.143834E-01    1.115463E-01
    1.080000E-01    1.124424E-01    1.146637E-01    1.117020E-01
    1.080000E-01    1.126293E-01    1.149440E-01    1.118577E-01
    1.082232E-01    1.127411E-01    1.150000E-01    1.119881E-01
    1.085022E-01    1.128341E-01    1.150000E-01    1.121121E-01
    1.087813E-01    1.129271E-01    1.150000E-01    1.122361E-01
    1.090000E-01    1.130402E-01    1.150603E-01    1.123668E-01
    1.090000E-01    1.132262E-01    1.153393E-01    1.125218E-01
    1.090000E-01    1.134122E-01    1.156183E-01    1.126768E-01
    1.090000E-01    1.135982E-01    1.158973E-01    1.128319E-01
    1.091771E-01    1.137257E-01    1.160000E-01    1.129676E-01
    1.094574E-01    1.138191E-01    1.160000E-01    1.130922E-01
    1.097377E-01    1.139125E-01    1.160000E-01    1.132167E-01
    1.100000E-01    1.140119E-01    1.160178E-01    1.133432E-01
    1.100000E-01    1.141979E-01    1.162969E-01    1.134982E-01
    1.100000E-01    1.143839E-01    1.165759E-01    1.136533E-01
    1.100000E-01    1.145699E-01    1.168549E-01    1.138083E-01
    1.101345E-01    1.147115E-01    1.170000E-01    1.139487E-01
    1.104148E-01    1.148049E-01    1.170000E-01    1.140732E-01
    1.106951E-01    1.148984E-01    1.170000E-01    1.141978E-01
    1.109753E-01    1.149918E-01    1.170000E-01    1.143224E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.151390E-01    1.172085E-01    1.144492E-01
    1.110000E-01    1.153259E-01    1.174888E-01    1.146049E-01
    1.110000E-01    1.155127E-01    1.177691E-01    1.147606E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110022E-01    1.156674E-01    1.180000E-01    1.148899E-01
    1.112825E-01    1.157608E-01    1.180000E-01    1.150145E-01
    1.115628E-01    1.158543E-01    1.180000E-01    1.151390E-01
    1.118431E-01    1.159477E-01    1.180000E-01    1.152636E-01
    1.120000E-01    1.160818E-01    1.181228E-01    1.154015E-01
    1.120000E-01    1.162679E-01    1.184018E-01    1.155566E-01
    1.120000E-01    1.164539E-01    1.186808E-01    1.157116E-01
    1.120000E-01    1.166399E-01    1.189598E-01    1.158666E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166667E-01    1.190000E-01    1.158889E-01
    1.120000E-01    1.166442E-01    1.189664E-01    1.158702E-01
    1.120000E-01    1.164574E-01    1.186861E-01    1.157145E-01
    1.120000E-01    1.162706E-01    1.184058E-01    1.155588E-01
    1.120000E-01    1.160837E-01    1.181256E-01    1.154031E-01
    1.120000E-01    1.160000E-01    1.180000E-01    1.153333E-01
    1.120000E-01    1.160000E-01    1.180000E-01    1.153333E-01
    1.120000E-01    1.160000E-01    1.180000E-01    1.153333E-01
    1.120000E-01    1.160000E-01    1.180000E-01    1.153333E-01
    1.117299E-01    1.159100E-01    1.180000E-01    1.152133E-01
    1.114509E-01    1.158170E-01    1.180000E-01    1.150893E-01
    1.111719E-01    1.157240E-01    1.180000E-01    1.149653E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.156667E-01    1.180000E-01    1.148889E-01
    1.110000E-01    1.155432E-01    1.178147E-01    1.147860E-01
    1.110000E-01    1.153571E-01    1.175357E-01    1.146310E-01
    1.110000E-01    1.151711E-01    1.172567E-01    1.144759E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.110000E-01    1.150000E-01    1.170000E-01    1.143333E-01
    1.107411E-01    1.149137E-01    1.170000E-01    1.142183E-01
    1.104620E-01    1.148207E-01    1.170000E-01    1.140942E-01
    1.101830E-01    1.147277E-01    1.170000E-01    1.139702E-01
    1.100000E-01    1.146667E-01    1.170000E-01    1.138889E-01
    1.100000E-01    1.146667E-01    1.170000E-01    1.138889E-01
    1.100000E-01    1.146667E-01    1.170000E-01    1.138889E-01
    1.100000E-01    1.146667E-01    1.170000E-01    1.138889E-01
    1.100000E-01    1.145223E-01    1.167835E-01    1.137686E-01
    1.100000E-01    1.143363E-01    1.165045E-01    1.136136E-01
    1.100000E-01    1.141503E-01    1.162254E-01    1.134586E-01
    1.100000E-01    1.140000E-01    1.160000E-01    1.133333E-01
    1.100000E-01    1.140000E-01    1.160000E-01    1.133333E-01
    1.100000E-01    1.140000E-01    1.160000E-01    1.133333E-01
    1.100000E-01    1.140000E-01    1.160000E-01    1.133333E-01
    1.098296E-01    1.138296E-01    1.158296E-01    1.131629E-01
    1.095493E-01    1.135493E-01    1.155493E-01    1.128826E-01
    1.092691E-01    1.132690E-01    1.152691E-01    1.126024E-01
    1.090000E-01    1.130000E-01    1.150000E-01    1.123333E-01
    1.090000E-01    1.130000E-01    1.150000E-01    1.123333E-01
    1.090000E-01    1.130000E-01    1.150000E-01    1.123333E-01
    1.090000E-01    1.130000E-01    1.150000E-01    1.123333E-01
